# baseparameters  节点数  支路数   平衡节点编号    基准功率     内点最大迭代次数    中心参数  机组数N  
1062     1767     69       100     50     0.1     486
# 机组信息：数据编号  机组所在节点编号   alpha gamma beta 有功上界  有功下界  无功上界  无功下界  ***  最小停机时间  爬坡约束  启动费用  
1	4	31.67	26.2438	0.069663	30	5	300	-300	1	1	1	15	40  0.016   -1.500  23.333
2	6	31.67	26.2438	0.069663	30	5	50	-13	1	1	1	15	40  0.016   -1.500  23.333
3	8	31.67	26.2438	0.069663	30	5	300	-300	1	1	1	15	40  0.016   -1.500  23.333
4	10	6.78	12.8875	0.010875	300	150	200	-147	8	8	8	150	440 0.031   -1.82   21.022
5	12	6.78	12.8875	0.010875	300	100	120	-35	8	8	8	150	110 0.012   -1.355  22.983
6	15	31.67	26.2438	0.069663	30	10	30	-10	1	1	1	15	40  0.013   -1.249  22.050
7	18	10.15	17.8200	0.012800	100	25	50	-16	5	5	5	50	50  0.02    -1.9    21.313
8	19	31.67	26.2438	0.069663	30	5	24	-8	1	1	1	15	40  0.016   -1.500  23.333
9	24	31.67	26.2438	0.069663	30	5	300	-300	1	1	1	15	40  0.016   -1.500  23.333
10	25	6.78	12.8875	0.010875	300	100	140	-47	8	8	8	150	100 0.012   -1.355  22.983
11	26	32.96	10.7600	0.003000	350	100	1000	-1000	8	8	8	175	100 0.007   0.805   21.9 
12	27	31.67	26.2438	0.069663	30	8	300	-300	1	1	1	15	40  0.015   -1.401  23.001
13	31	31.67	26.2438	0.069663	30	8	300	-300	1	1	1	15	40  0.015   -1.401  23.001
14	32	10.15	17.8200	0.012800	100	25	42	-14	5	5	5	50	50  0.02    -1.9    21.313
15	34	31.67	26.2438	0.069663	30	8	24	-8	1	1	1	15	40  0.015   -1.401  23.001
16	36	10.15	17.8200	0.012800	100	25	24	-8	5	5	5	50	50  0.02    -1.9    21.313
17	40	31.67	26.2438	0.069663	30	8	300	-300	1	1	1	15	40  0.015   -1.401  23.001
18	42	31.67	26.2438	0.069663	30	8	300	-300	1	1	1	15	40  0.015   -1.401  23.001
19	46	10.15	17.8200	0.012800	100	25	100	-100	5	5	5	50	59  0.02    -1.9    21.313
